Microsoft (R) COFF/PE Dumper Version 14.44.35228.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    99A9CCCA time date stamp
        0.00 version
           2 ordinal base
        2001 number of functions
         478 number of names

    ordinal hint RVA      name

        255    0 002AC120 AppCompat_RunDLLW
        263    1 0002C6B0 AssocCreateForClasses
        267    2 002B56C0 AssocElemCreateForKey
        268    3 001A2B30 AssocGetDetailsOfPropKey
        701    4 002BE5E0 CDefFolderMenu_Create2
         83    5 002C00F0 CIDLData_CreateFromIDArray
        937    6 00257D40 CStorageItem_GetValidatedStorageItemObject
        269    7 002C0CA0 CallFileCopyHook
        272    8 002D20E0 CheckEscapesW
        273    9 000D5440 CommandLineToArgvW
        274    A 002D5AF0 Control_RunDLL
        275    B 002D5AF0 Control_RunDLLA
        276    C 002D5B70 Control_RunDLLAsUserW
        277    D 002D5BB0 Control_RunDLLW
        935    E 00257D80 CreateStorageItemFromPath_FullTrustCaller
        936    F 00257DA0 CreateStorageItemFromPath_FullTrustCaller_ForPackage
        920   10 00257DC0 CreateStorageItemFromPath_PartialTrustCaller
        921   11 00257DE0 CreateStorageItemFromShellItem_FullTrustCaller
        925   12 0019D1D0 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage
        929   13 00257E00 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage_WithProcessHandle
        931   14 00257E20 CreateStorageItemFromShellItem_FullTrustCaller_UseImplicitFlagsAndPackage
        129   15 0010B220 DAD_AutoScroll
        131   16 002A0610 DAD_DragEnterEx
         22   17 002EDA30 DAD_DragEnterEx2
        132   18 002EDB30 DAD_DragLeave
        134   19 001A7240 DAD_DragMove
        136   1A 0010B230 DAD_SetDragImage
        137   1B 0010B240 DAD_ShowDragImage
        278   1C 000DBB60 DllCanUnloadNow
        279   1D 00250B60 DllGetActivationFactory
        280   1E 0009FDA0 DllGetClassObject
        281   1F 002F8950 DllGetVersion
        282   20 002F8A20 DllInstall
        283   21 002F8D10 DllRegisterServer
        284   22 002F8D10 DllUnregisterServer
        285   23 002457A0 DoEnvironmentSubstA
        286   24 00245850 DoEnvironmentSubstW
        287   25 0006CC90 DragAcceptFiles
        288   26 00249BC0 DragFinish
        289   27 0019B900 DragQueryFile
        290   28 0019B900 DragQueryFileA
        291   29 0019B930 DragQueryFileAorW
        292   2A 0019BC00 DragQueryFileW
        293   2B 00249D80 DragQueryPoint
         64   2C 002F9B90 DriveType
        294   2D 000D3470 DuplicateIcon
        295   2E 00245960 ExtractAssociatedIconA
        296   2F 00245A50 ExtractAssociatedIconExA
        297   30 00245B40 ExtractAssociatedIconExW
        298   31 0019B210 ExtractAssociatedIconW
        299   32 00245DB0 ExtractIconA
        300   33 0019B2E0 ExtractIconEx
        301   34 0019B2E0 ExtractIconExA
        302   35 000AD520 ExtractIconExW
        303   36 00062010 ExtractIconW
        304   37 00317920 FindExecutableA
        305   38 00317A00 FindExecutableW
        306   39 00245E40 FreeIconList
        307   3A 001A8D10 GetCurrentProcessExplicitAppUserModelID
         63   3B 0031CC80 GetFileNameFromBrowse
        919   3C 00257E40 GetSystemPersistedStorageItemList
        154   3D 00324F50 ILAppendID
         18   3E 000A4150 ILClone
         19   3F 000CC5A0 ILCloneFirst
         25   40 000C74C0 ILCombine
        157   41 001A9650 ILCreateFromPath
        189   42 00325040 ILCreateFromPathA
